Région;Départements;Code commune (INSEE);Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €
ALSACE                        ;BAS-RHIN                      ;67180;HAGUENAU                                          ;142;2 834 591;12 622
ALSACE                        ;BAS-RHIN                      ;67218;ILLKIRCH GRAFFENSTADEN                            ;102;2 167 168;7 891
ALSACE                        ;BAS-RHIN                      ;67447;SCHILTIGHEIM                                      ;65;2 401 983;8 414
ALSACE                        ;BAS-RHIN                      ;67482;STRASBOURG                                        ;1 697;3 092 175;13 167
ALSACE                        ;HAUT-RHIN                     ;68066;COLMAR                                            ;278;2 566 795;11 328
ALSACE                        ;HAUT-RHIN                     ;68224;MULHOUSE                                          ;352;2 844 362;12 124
ALSACE                        ;HAUT-RHIN                     ;68297;SAINT LOUIS                                       ;62;2 605 264;11 677
AQUITAINE                     ;DORDOGNE                      ;24037;BERGERAC                                          ;110;2 057 546;7 328
AQUITAINE                     ;DORDOGNE                      ;24322;PERIGUEUX                                         ;104;2 311 857;9 437
AQUITAINE                     ;GIRONDE                       ;33063;BORDEAUX                                          ;2 242;2 650 935;11 094
AQUITAINE                     ;GIRONDE                       ;33162;EYSINES                                           ;86;2 186 755;8 207
AQUITAINE                     ;GIRONDE                       ;33192;GRADIGNAN                                         ;139;2 460 728;9 495
AQUITAINE                     ;GIRONDE                       ;33199;GUJAN-MESTRAS                                     ;78;2 174 550;7 130
AQUITAINE                     ;GIRONDE                       ;33529;LA TESTE DE BUCH                                  ;263;2 390 831;8 921
AQUITAINE                     ;GIRONDE                       ;33069;LE BOUSCAT                                        ;292;3 306 298;10 994
AQUITAINE                     ;GIRONDE                       ;33243;LIBOURNE                                          ;135;2 465 286;8 534
AQUITAINE                     ;GIRONDE                       ;33281;MERIGNAC                                          ;242;2 284 852;8 496
AQUITAINE                     ;GIRONDE                       ;33318;PESSAC                                            ;224;2 317 033;8 574
AQUITAINE                     ;GIRONDE                       ;33449;SAINT-MEDARD-EN-JALLES                            ;95;2 178 018;7 347
AQUITAINE                     ;GIRONDE                       ;33522;TALENCE                                           ;165;2 315 868;8 984
AQUITAINE                     ;GIRONDE                       ;33550;VILLENAVE-D'ORNON                                 ;86;2 819 088;7 996
AQUITAINE                     ;LANDES                        ;40088;DAX                                               ;106;2 693 066;11 360
AQUITAINE                     ;LANDES                        ;40192;MONT-DE-MARSAN                                    ;95;2 176 430;7 792
AQUITAINE                     ;LOT-ET-GARONNE                ;47001;AGEN                                              ;105;2 444 398;10 572
AQUITAINE                     ;LOT-ET-GARONNE                ;47323;VILLENEUVE SUR LOT                                ;62;2 304 026;8 261
AQUITAINE                     ;PYRENEES-ATLANTIQUES          ;64024;ANGLET                                            ;379;2 382 014;8 541
AQUITAINE                     ;PYRENEES-ATLANTIQUES          ;64102;BAYONNE                                           ;233;2 554 558;11 562
AQUITAINE                     ;PYRENEES-ATLANTIQUES          ;64122;BIARRITZ                                          ;499;2 494 300;9 785
AQUITAINE                     ;PYRENEES-ATLANTIQUES          ;64445;PAU                                               ;417;2 657 743;8 517
AUVERGNE                      ;ALLIER                        ;03185;MONTLUCON                                         ;115;2 229 932;7 076
AUVERGNE                      ;ALLIER                        ;03310;VICHY                                             ;160;2 422 487;8 697
AUVERGNE                      ;CANTAL                        ;15014;AURILLAC                                          ;107;2 492 085;10 143
AUVERGNE                      ;PUY-DE-DOME                   ;63113;CLERMONT-FERRAND                                  ;459;2 522 821;11 447
BASSE-NORMANDIE               ;CALVADOS                      ;14118;CAEN                                              ;574;2 554 866;10 236
BASSE-NORMANDIE               ;MANCHE                        ;50129;CHERBOURG OCTEVILLE                               ;98;2 496 793;9 348
BASSE-NORMANDIE               ;MANCHE                        ;50502;SAINT LO                                          ;52;2 339 274;8 049
BASSE-NORMANDIE               ;ORNE                          ;61001;ALENCON                                           ;74;2 338 829;9 137
BOURGOGNE                     ;COTE-D'OR                     ;21054;BEAUNE                                            ;144;2 734 065;9 681
BOURGOGNE                     ;COTE-D'OR                     ;21231;DIJON                                             ;651;2 606 741;9 776
BOURGOGNE                     ;NIEVRE                        ;58194;NEVERS                                            ;92;2 565 077;11 534
BOURGOGNE                     ;SAONE-ET-LOIRE                ;71076;CHALON SUR SAONE                                  ;136;2 273 792;8 471
BOURGOGNE                     ;SAONE-ET-LOIRE                ;71270;MACON                                             ;113;2 815 286;14 084
BOURGOGNE                     ;YONNE                         ;89024;AUXERRE                                           ;123;2 365 008;10 673
BOURGOGNE                     ;YONNE                         ;89387;SENS                                              ;105;2 549 067;10 186
BRETAGNE                      ;COTES-D'ARMOR                 ;22113;LANNION                                           ;77;2 149 540;7 739
BRETAGNE                      ;COTES-D'ARMOR                 ;22278;SAINT-BRIEUC                                      ;171;2 322 805;8 122
BRETAGNE                      ;FINISTERE                     ;29019;BREST                                             ;270;2 780 051;10 239
BRETAGNE                      ;FINISTERE                     ;29232;QUIMPER                                           ;214;2 382 947;7 642
BRETAGNE                      ;ILLE-ET-VILAINE               ;35115;FOUGERES                                          ;71;2 311 428;8 043
BRETAGNE                      ;ILLE-ET-VILAINE               ;35238;RENNES                                            ;1 182;2 633 336;10 769
BRETAGNE                      ;ILLE-ET-VILAINE               ;35288;SAINT MALO                                        ;422;2 477 362;9 849
BRETAGNE                      ;MORBIHAN                      ;56121;LORIENT                                           ;142;2 429 032;9 276
BRETAGNE                      ;MORBIHAN                      ;56260;VANNES                                            ;446;2 387 020;8 783
CENTRE                        ;CHER                          ;18033;BOURGES                                           ;247;2 220 650;7 708
CENTRE                        ;EURE-ET-LOIR                  ;28085;CHARTRES                                          ;245;2 470 387;10 147
CENTRE                        ;EURE-ET-LOIR                  ;28134;DREUX                                             ;66;2 544 428;12 091
CENTRE                        ;INDRE                         ;36044;CHATEAUROUX                                       ;144;2 533 322;10 970
CENTRE                        ;INDRE-ET-LOIRE                ;37122;JOUE LES TOURS                                    ;83;2 349 681;9 639
CENTRE                        ;INDRE-ET-LOIRE                ;37261;TOURS                                             ;669;2 368 174;9 154
CENTRE                        ;LOIR-ET-CHER                  ;41018;BLOIS                                             ;158;2 484 104;10 736
CENTRE                        ;LOIRET                        ;45232;OLIVET                                            ;178;2 278 223;8 729
CENTRE                        ;LOIRET                        ;45234;ORLEANS                                           ;563;2 320 265;9 230
CHAMPAGNE-ARDENNE             ;ARDENNES                      ;08105;CHARLEVILLE MEZIERES                              ;127;2 172 691;7 901
CHAMPAGNE-ARDENNE             ;AUBE                          ;10387;TROYES                                            ;210;2 844 484;12 961
CHAMPAGNE-ARDENNE             ;HAUTE-MARNE                   ;52448;SAINT-DIZIER                                      ;54;3 474 382;10 078
CHAMPAGNE-ARDENNE             ;MARNE                         ;51108;CHALONS EN CHAMPAGNE                              ;123;2 319 208;8 819
CHAMPAGNE-ARDENNE             ;MARNE                         ;51230;EPERNAY                                           ;100;2 624 923;11 340
CHAMPAGNE-ARDENNE             ;MARNE                         ;51454;REIMS                                             ;759;2 547 978;10 251
CORSE                         ;CORSE-DU-SUD                  ;2A004;AJACCIO                                           ;252;2 685 028;11 673
CORSE                         ;HAUTE-CORSE                   ;2B033;BASTIA                                            ;105;2 561 976;12 311
FRANCHE-COMTE                 ;DOUBS                         ;25056;BESANCON                                          ;380;2 464 989;9 275
FRANCHE-COMTE                 ;DOUBS                         ;25388;MONTBELIARD                                       ;59;1 975 678;6 737
FRANCHE-COMTE                 ;JURA                          ;39198;DOLE                                              ;63;2 269 495;7 344
FRANCHE-COMTE                 ;TERRITOIRE DE BELFORT         ;90010;BELFORT                                           ;104;2 599 060;12 651
GUADELOUPE                    ;GUADELOUPE                    ;97113;LE GOSIER                                         ;86;2 612 963;11 524
HAUTE-NORMANDIE               ;EURE                          ;27229;EVREUX                                            ;144;2 321 069;9 101
HAUTE-NORMANDIE               ;EURE                          ;27681;VERNON                                            ;90;2 179 962;7 669
HAUTE-NORMANDIE               ;SEINE-MARITIME                ;76217;DIEPPE                                            ;95;2 171 153;7 934
HAUTE-NORMANDIE               ;SEINE-MARITIME                ;76351;LE HAVRE                                          ;371;2 440 129;9 924
HAUTE-NORMANDIE               ;SEINE-MARITIME                ;76540;ROUEN                                             ;530;2 366 472;9 555
ILE-DE-FRANCE                 ;ESSONNE                       ;91027;ATHIS MONS                                        ;59;2 497 899;12 057
ILE-DE-FRANCE                 ;ESSONNE                       ;91103;BRETIGNY SUR ORGE                                 ;52;2 200 683;7 635
ILE-DE-FRANCE                 ;ESSONNE                       ;91114;BRUNOY                                            ;159;2 416 483;9 770
ILE-DE-FRANCE                 ;ESSONNE                       ;91174;CORBEIL ESSONNES                                  ;61;2 598 081;10 685
ILE-DE-FRANCE                 ;ESSONNE                       ;91201;DRAVEIL                                           ;134;2 530 803;9 197
ILE-DE-FRANCE                 ;ESSONNE                       ;91223;ETAMPES                                           ;66;2 440 512;9 794
ILE-DE-FRANCE                 ;ESSONNE                       ;91272;GIF SUR YVETTE                                    ;355;2 267 688;8 396
ILE-DE-FRANCE                 ;ESSONNE                       ;91345;LONGJUMEAU                                        ;57;2 300 579;9 812
ILE-DE-FRANCE                 ;ESSONNE                       ;91377;MASSY                                             ;83;2 068 179;7 510
ILE-DE-FRANCE                 ;ESSONNE                       ;91421;MONTGERON                                         ;148;2 327 800;8 161
ILE-DE-FRANCE                 ;ESSONNE                       ;91434;MORSANG SUR ORGE                                  ;74;2 413 824;9 762
ILE-DE-FRANCE                 ;ESSONNE                       ;91477;PALAISEAU                                         ;225;3 629 705;12 683
ILE-DE-FRANCE                 ;ESSONNE                       ;91589;SAVIGNY SUR ORGE                                  ;123;2 084 333;7 320
ILE-DE-FRANCE                 ;ESSONNE                       ;91549;STE GENEVIEVE DES BOIS                            ;136;2 290 492;8 363
ILE-DE-FRANCE                 ;ESSONNE                       ;91687;VIRY CHATILLON                                    ;54;1 957 414;6 559
ILE-DE-FRANCE                 ;ESSONNE                       ;91691;YERRES                                            ;119;2 277 101;8 512
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92002;ANTONY                                            ;783;2 244 597;7 960
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92004;ASNIERES                                          ;749;2 376 631;8 832
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92007;BAGNEUX                                           ;60;2 072 313;7 178
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92009;BOIS-COLOMBES                                     ;305;2 253 920;8 268
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92012;BOULOGNE BILLANCOURT                              ;3 579;2 836 027;12 140
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92014;BOURG LA REINE                                    ;455;2 531 694;11 081
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92019;CHATENAY MALABRY                                  ;279;2 390 957;9 635
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92020;CHATILLON                                         ;236;2 191 720;7 751
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92023;CLAMART                                           ;619;2 483 157;10 488
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92024;CLICHY                                            ;108;2 207 329;8 724
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92025;COLOMBES                                          ;424;2 379 540;9 068
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92026;COURBEVOIE                                        ;990;2 244 298;8 363
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92032;FONTENAY AUX ROSES                                ;269;2 071 185;6 867
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92040;ISSY LES MOULINEAUX                               ;796;2 251 303;7 882
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92035;LA GARENNE COLOMBES                               ;310;2 315 217;8 872
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92060;LE PLESSIS ROBINSON                               ;185;2 112 168;7 828
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92044;LEVALLOIS-PERRET                                  ;1 230;2 884 883;10 650
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92046;MALAKOFF                                          ;154;2 204 564;7 587
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92048;MEUDON                                            ;949;2 593 127;10 388
ILE-DE-FRANCE                 ;HAUTS-DE-SEINE                ;92049;MONTROUGE                                         ;396;2 546 633;11 744
